logT	 logRho		logP		u	s
 -6.00    -3.30    -2.136800123271817E+01     2.799696403538028E-05     6.938587649984006E-06
 -6.00    -3.20    -2.136800123271817E+01     2.799696403490780E-05     6.938581943840169E-06
 -6.00    -3.10    -2.136800123271817E+01     2.799696403453249E-05     6.938577411289007E-06
 -6.00    -3.00    -2.136800123271817E+01     2.799696403423438E-05     6.938573810955644E-06
 -6.00    -2.90    -2.136800123271817E+01     2.799696403399758E-05     6.938570951109199E-06
 -6.00    -2.80    -2.136800123271817E+01     2.799696403380948E-05     6.938568679452421E-06
 -6.00    -2.70    -2.136800123271817E+01     2.799696403366006E-05     6.938566875011303E-06
 -6.00    -2.60    -2.136800123271817E+01     2.799696403354138E-05     6.938565441692774E-06
 -6.00    -2.50    -2.136800123271817E+01     2.799696403344711E-05     6.938564303167398E-06
 -6.00    -2.40    -2.136800123271817E+01     2.799696403337223E-05     6.938563398804545E-06
 -6.00    -2.30    -2.136800123271817E+01     2.799696403331275E-05     6.938562680443597E-06
 -6.00    -2.20    -2.136800123271817E+01     2.799696403326550E-05     6.938562109829214E-06
 -6.00    -2.10    -2.136800123271817E+01     2.799696403322797E-05     6.938561656574098E-06
 -6.00    -2.00    -2.136800123271817E+01     2.799696403319816E-05     6.938561296540761E-06
 -6.00    -1.90    -2.136800123271817E+01     2.799696403317447E-05     6.938561010556117E-06
 -6.00    -1.80    -2.136800123271817E+01     2.799696403315567E-05     6.938560783390439E-06
 -6.00    -1.70    -2.136800123271817E+01     2.799696403314072E-05     6.938560602946327E-06
 -6.00    -1.60    -2.136800123271817E+01     2.799696403312886E-05     6.938560459614475E-06
 -6.00    -1.50    -2.136800123271817E+01     2.799696403311943E-05     6.938560345761937E-06
 -6.00    -1.40    -2.136800123271817E+01     2.799696403311194E-05     6.938560255325651E-06
 -6.00    -1.30    -2.136800123271817E+01     2.799696403310599E-05     6.938560183489556E-06
 -6.00    -1.20    -2.136800123271817E+01     2.799696403310127E-05     6.938560126428118E-06
 -6.00    -1.10    -2.136800123271817E+01     2.799696403309752E-05     6.938560081102606E-06
 -6.00    -1.00    -2.136800123271817E+01     2.799696403309453E-05     6.938560045099273E-06
 -6.00    -0.90    -2.136800123271817E+01     2.799696403309217E-05     6.938560016500809E-06
 -6.00    -0.80    -2.136800123271817E+01     2.799696403309029E-05     6.938559993784241E-06
 -6.00    -0.70    -2.136800123271817E+01     2.799696403308879E-05     6.938559975739830E-06
 -6.00    -0.60    -2.136800123271817E+01     2.799696403308760E-05     6.938559961406644E-06
 -6.00    -0.50    -2.136800123271817E+01     2.799696403308666E-05     6.938559950021391E-06
 -6.00    -0.40    -2.136800123271817E+01     2.799696403308591E-05     6.938559940977762E-06
 -6.00    -0.30    -2.136800123271817E+01     2.799696403308532E-05     6.938559933794153E-06
 -6.00    -0.20    -2.136800123271817E+01     2.799696403308484E-05     6.938559928088009E-06
 -6.00    -0.10    -2.136800123271817E+01     2.799696403308447E-05     6.938559923555457E-06
 -6.00     0.00    -2.136800123271817E+01     2.799696403308417E-05     6.938559919955124E-06
 -6.00     0.10    -2.136800123271817E+01     2.799696403308393E-05     6.938559917095278E-06
 -6.00     0.20    -2.136800123271817E+01     2.799696403308375E-05     6.938559914823621E-06
 -6.00     0.30    -2.136800123271817E+01     2.799696403308360E-05     6.938559913019180E-06
 -6.00     0.40    -2.136800123271817E+01     2.799696403308348E-05     6.938559911585861E-06
 -6.00     0.50    -4.809287690154139E+00     2.836226935796753E-05     5.837487451523239E-06
 -6.00     0.60    -4.214495267515192E+00     3.058928839754027E-05     4.891091035977173E-06
 -6.00     0.70    -3.793997650605264E+00     3.590450698580803E-05     4.186627159365730E-06
 -6.00     0.80    -3.441577136913147E+00     4.600877826723551E-05     3.616245800870993E-06
 -6.00     0.90    -3.127518027475805E+00     6.317040797325229E-05     3.135220857796367E-06
 -6.00     1.00    -2.838897993812993E+00     9.034548309394841E-05     2.721673331675270E-06
 -6.00     1.10    -2.568760368218284E+00     1.313161837295283E-04     2.363092864119012E-06
 -6.00     1.20    -2.312836996731480E+00     1.908511236302809E-04     2.051031971932888E-06
 -6.00     1.30    -2.068268585813410E+00     2.748917493875465E-04     1.779156913440144E-06
 -6.00     1.40    -1.833015966471257E+00     3.907696174137799E-04     1.542285581513681E-06
 -6.00     1.50    -1.605556124663829E+00     5.474611910299060E-04     1.336064106222160E-06
 -6.00     1.60    -1.384710640156613E+00     7.558862007345079E-04     1.156455213808532E-06
 -6.00     1.70    -1.169543978970436E+00     1.029258114340327E-03     1.000252360812217E-06
 -6.00     1.80    -9.592980008455798E-01     1.383494669789979E-03     8.646609360747695E-07
 -6.00     1.90    -7.533479039375487E-01     1.837700178044768E-03     7.469021165391542E-07
 -6.00     2.00    -5.511725233322103E-01     2.414728558219759E-03     6.447628032695482E-07
 -5.90   -12.60    -2.126336093041496E+01     3.258175798927453E-05     5.639549884508124E-02
 -5.90   -12.50    -2.126336093041496E+01     3.163879561122868E-05     4.479848305689823E-02
 -5.90   -12.40    -2.126336093041496E+01     3.088977397006411E-05     3.558664597780119E-02
 -5.90   -12.30    -2.126336093041496E+01     3.029480493206757E-05     2.826942369219436E-02
 -5.90   -12.20    -2.126336093041496E+01     2.982220422640017E-05     2.245714743098302E-02
 -5.90   -12.10    -2.126336093041496E+01     2.944680414213793E-05     1.784029228868525E-02
 -5.90   -12.00    -2.126336093041496E+01     2.914861325589057E-05     1.417299389352614E-02
 -5.90   -11.90    -2.126336093041496E+01     2.891175181560683E-05     1.125995523309221E-02
 -5.90   -11.80    -2.126336093041496E+01     2.872360608587200E-05     8.946046376266139E-03
 -5.90   -11.70    -2.126336093041496E+01     2.857415662050081E-05     7.108043238710577E-03
 -5.90   -11.60    -2.126336093041496E+01     2.845544469049204E-05     5.648065451038404E-03
 -5.90   -11.50    -2.126336093041496E+01     2.836114845268745E-05     4.488363872220104E-03
 -5.90   -11.40    -2.126336093041496E+01     2.828624628857100E-05     3.567180164310400E-03
 -5.90   -11.30    -2.126336093041496E+01     2.822674938477134E-05     2.835457935749716E-03
 -5.90   -11.20    -2.126336093041496E+01     2.817948931420460E-05     2.254230309628582E-03
 -5.90   -11.10    -2.126336093041496E+01     2.814194930577838E-05     1.792544795398806E-03
 -5.90   -11.00    -2.126336093041496E+01     2.811213021715364E-05     1.425814955882894E-03
 -5.90   -10.90    -2.126336093041496E+01     2.808844407312527E-05     1.134511089839502E-03
 -5.90   -10.80    -2.126336093041496E+01     2.806962950015179E-05     9.031202041568947E-04
 -5.90   -10.70    -2.126336093041496E+01     2.805468455361467E-05     7.193198904013382E-04
 -5.90   -10.60    -2.126336093041496E+01     2.804281336061379E-05     5.733221116341209E-04
 -5.90   -10.50    -2.126336093041496E+01     2.803338373683333E-05     4.573519537522908E-04
 -5.90   -10.40    -2.126336093041496E+01     2.802589352042168E-05     3.652335829613205E-04
 -5.90   -10.30    -2.126336093041496E+01     2.801994383004172E-05     2.920613601052521E-04
 -5.90   -10.20    -2.126336093041496E+01     2.801521782298504E-05     2.339385974931388E-04
 -5.90   -10.10    -2.126336093041496E+01     2.801146382214242E-05     1.877700460701611E-04
 -5.90   -10.00    -2.126336093041496E+01     2.800848191327995E-05     1.510970621185700E-04
 -5.90    -9.90    -2.126336093041496E+01     2.800611329887711E-05     1.219666755142307E-04
 -5.90    -9.80    -2.126336093041496E+01     2.800423184157976E-05     9.882758694596996E-05
 -5.90    -9.70    -2.126336093041496E+01     2.800273734692605E-05     8.044755557041432E-05
 -5.90    -9.60    -2.126336093041496E+01     2.800155022762596E-05     6.584777769369260E-05
 -5.90    -9.50    -2.126336093041496E+01     2.800060726524792E-05     5.425076190550959E-05
 -5.90    -9.40    -2.126336093041496E+01     2.799985824360675E-05     4.503892482641255E-05
 -5.90    -9.30    -2.126336093041496E+01     2.799926327456876E-05     3.772170254080571E-05
 -5.90    -9.20    -2.126336093041496E+01     2.799879067386309E-05     3.190942627959437E-05
 -5.90    -9.10    -2.126336093041496E+01     2.799841527377883E-05     2.729257113729660E-05
 -5.90    -9.00    -2.126336093041496E+01     2.799811708289258E-05     2.362527274213749E-05
 -5.90    -8.90    -2.126336093041496E+01     2.799788022145230E-05     2.071223408170356E-05
 -5.90    -8.80    -2.126336093041496E+01     2.799769207572256E-05     1.839832522487749E-05
 -5.90    -8.70    -2.126336093041496E+01     2.799754262625719E-05     1.656032208732193E-05
 -5.90    -8.60    -2.126336093041496E+01     2.799742391432718E-05     1.510034429964975E-05
 -5.90    -8.50    -2.126336093041496E+01     2.799732961808938E-05     1.394064272083145E-05
 -5.90    -8.40    -2.126336093041496E+01     2.799725471592526E-05     1.301945901292175E-05
 -5.90    -8.30    -2.126336093041496E+01     2.799719521902146E-05     1.228773678436107E-05
 -5.90    -8.20    -2.126336093041496E+01     2.799714795895089E-05     1.170650915823993E-05
 -5.90    -8.10    -2.126336093041496E+01     2.799711041894247E-05     1.124482364401015E-05
 -5.90    -8.00    -2.126336093041496E+01     2.799708059985384E-05     1.087809380449424E-05
 -5.90    -7.90    -2.126336093041496E+01     2.799705691370982E-05     1.058678993845085E-05
 -5.90    -7.80    -2.126336093041496E+01     2.799703809913684E-05     1.035539905276824E-05
 -5.90    -7.70    -2.126336093041496E+01     2.799702315419030E-05     1.017159873901269E-05
 -5.90    -7.60    -2.126336093041496E+01     2.799701128299730E-05     1.002560096024547E-05
 -5.90    -7.50    -2.126336093041496E+01     2.799700185337352E-05     9.909630802363639E-06
 -5.90    -7.40    -2.126336093041496E+01     2.799699436315711E-05     9.817512431572668E-06
 -5.90    -7.30    -2.126336093041496E+01     2.799698841346673E-05     9.744340208716599E-06
 -5.90    -7.20    -2.126336093041496E+01     2.799698368745968E-05     9.686217446104488E-06
 -5.90    -7.10    -2.126336093041496E+01     2.799697993345883E-05     9.640048894681509E-06
 -5.90    -7.00    -2.126336093041496E+01     2.799697695154997E-05     9.603375910729918E-06
