logT	 logRho		logP		u	s
 -6.00     0.80    -2.132486436372320E+01     9.546543433870999E-06     3.000181119212146E-06
 -6.00     0.90    -2.132486436372320E+01     9.546543433870969E-06     3.000181118713390E-06
 -6.00     1.00    -4.239035146028290E+00     1.002526569622602E-05     2.454281627491268E-06
 -6.00     1.10    -3.647772601910331E+00     1.261499636375508E-05     2.039583421781341E-06
 -6.00     1.20    -3.219207468531822E+00     1.886933033048161E-05     1.740773784485060E-06
 -6.00     1.30    -2.856953100801587E+00     3.101503666789371E-05     1.503769357387557E-06
 -6.00     1.40    -2.532824470226028E+00     5.212438232485399E-05     1.305977355870501E-06
 -6.00     1.50    -2.234308742125593E+00     8.632750517577177E-05     1.136650555826578E-06
 -6.00     1.60    -1.954578006973470E+00     1.390623004739075E-04     9.899122194678133E-07
 -6.00     1.70    -1.689402634033520E+00     2.173694748746493E-04     8.619060989639311E-07
 -6.00     1.80    -1.435930540130630E+00     3.302401304069176E-04     7.499757165852184E-07
 -6.00     1.90    -1.192118167878144E+00     4.890254241696179E-04     6.522353523892626E-07
 -6.00     2.00    -9.564352140275332E-01     7.079200828089996E-04     5.664082984825721E-07
 -5.90   -12.60    -2.121787524682500E+01     1.332403466860155E-05     6.168161797190574E-02
 -5.90   -12.50    -2.121787524682500E+01     1.254711165240690E-05     4.899631166722702E-02
 -5.90   -12.40    -2.121787524682500E+01     1.192997976443633E-05     3.892001470329477E-02
 -5.90   -12.30    -2.121787524682500E+01     1.143977448127261E-05     3.091612752337681E-02
 -5.90   -12.20    -2.121787524682500E+01     1.105039058404465E-05     2.455841394882018E-02
 -5.90   -12.10    -2.121787524682500E+01     1.074109196032951E-05     1.950830254826009E-02
 -5.90   -12.00    -2.121787524682500E+01     1.049540733055121E-05     1.549685647429223E-02
 -5.90   -11.90    -2.121787524682500E+01     1.030025309228052E-05     1.231045159566569E-02
 -5.90   -11.80    -2.121787524682500E+01     1.014523657069601E-05     9.779400233309424E-03
 -5.90   -11.70    -2.121787524682500E+01     1.002210257075268E-05     7.768914672652456E-03
 -5.90   -11.60    -2.121787524682500E+01     9.924293757943157E-06     6.171929226317176E-03
 -5.90   -11.50    -2.121787524682500E+01     9.846601456323690E-06     4.903398595849305E-03
 -5.90   -11.40    -2.121787524682500E+01     9.784888267526634E-06     3.895768899456079E-03
 -5.90   -11.30    -2.121787524682500E+01     9.735867739210262E-06     3.095380181464285E-03
 -5.90   -11.20    -2.121787524682500E+01     9.696929349487466E-06     2.459608824008621E-03
 -5.90   -11.10    -2.121787524682500E+01     9.665999487115952E-06     1.954597683952613E-03
 -5.90   -11.00    -2.121787524682500E+01     9.641431024138122E-06     1.553453076555827E-03
 -5.90   -10.90    -2.121787524682500E+01     9.621915600311053E-06     1.234812588693173E-03
 -5.90   -10.80    -2.121787524682500E+01     9.606413948152602E-06     9.817074524575465E-04
 -5.90   -10.70    -2.121787524682500E+01     9.594100548158270E-06     7.806588963918496E-04
 -5.90   -10.60    -2.121787524682500E+01     9.584319666877318E-06     6.209603517583216E-04
 -5.90   -10.50    -2.121787524682500E+01     9.576550436715370E-06     4.941072887115344E-04
 -5.90   -10.40    -2.121787524682500E+01     9.570379117835664E-06     3.933443190722119E-04
 -5.90   -10.30    -2.121787524682500E+01     9.565477065004028E-06     3.133054472730324E-04
 -5.90   -10.20    -2.121787524682500E+01     9.561583226031748E-06     2.497283115274660E-04
 -5.90   -10.10    -2.121787524682500E+01     9.558490239794596E-06     1.992271975218652E-04
 -5.90   -10.00    -2.121787524682500E+01     9.556033393496813E-06     1.591127367821866E-04
 -5.90    -9.90    -2.121787524682500E+01     9.554081851114106E-06     1.272486879959211E-04
 -5.90    -9.80    -2.121787524682500E+01     9.552531685898262E-06     1.019381743723585E-04
 -5.90    -9.70    -2.121787524682500E+01     9.551300345898828E-06     8.183331876578880E-05
 -5.90    -9.60    -2.121787524682500E+01     9.550322257770733E-06     6.586346430243602E-05
 -5.90    -9.50    -2.121787524682500E+01     9.549545334754538E-06     5.317815799775730E-05
 -5.90    -9.40    -2.121787524682500E+01     9.548928202866567E-06     4.310186103382504E-05
 -5.90    -9.30    -2.121787524682500E+01     9.548437997583404E-06     3.509797385390710E-05
 -5.90    -9.20    -2.121787524682500E+01     9.548048613686175E-06     2.874026027935046E-05
 -5.90    -9.10    -2.121787524682500E+01     9.547739315062462E-06     2.369014887879038E-05
 -5.90    -9.00    -2.121787524682500E+01     9.547493630432683E-06     1.967870280482251E-05
 -5.90    -8.90    -2.121787524682500E+01     9.547298476194412E-06     1.649229792619597E-05
 -5.90    -8.80    -2.121787524682500E+01     9.547143459672827E-06     1.396124656383971E-05
 -5.90    -8.70    -2.121787524682500E+01     9.547020325672884E-06     1.195076100318274E-05
 -5.90    -8.60    -2.121787524682500E+01     9.546922516860074E-06     1.035377555684746E-05
 -5.90    -8.50    -2.121787524682500E+01     9.546844824558455E-06     9.085244926379588E-06
 -5.90    -8.40    -2.121787524682500E+01     9.546783111369659E-06     8.077615229986365E-06
 -5.90    -8.30    -2.121787524682500E+01     9.546734090841342E-06     7.277226511994569E-06
 -5.90    -8.20    -2.121787524682500E+01     9.546695152451618E-06     6.641455154538906E-06
 -5.90    -8.10    -2.121787524682500E+01     9.546664222589248E-06     6.136444014482897E-06
 -5.90    -8.00    -2.121787524682500E+01     9.546639654126270E-06     5.735299407086111E-06
 -5.90    -7.90    -2.121787524682500E+01     9.546620138702442E-06     5.416658919223457E-06
 -5.90    -7.80    -2.121787524682500E+01     9.546604637050283E-06     5.163553782987828E-06
 -5.90    -7.70    -2.121787524682500E+01     9.546592323650290E-06     4.962505226922135E-06
 -5.90    -7.60    -2.121787524682500E+01     9.546582542769009E-06     4.802806682288606E-06
 -5.90    -7.50    -2.121787524682500E+01     9.546574773538846E-06     4.675953619241818E-06
 -5.90    -7.40    -2.121787524682500E+01     9.546568602219966E-06     4.575190649602495E-06
 -5.90    -7.30    -2.121787524682500E+01     9.546563700167136E-06     4.495151777803316E-06
