density_[g_m3],pressure_[GPa],temperature_cold_podolak_[K],temperature_hot_podolak_[K],radius_[m]
0.5818,10.301,1655.7,3477.3,2089400000.0
0.58803,10.484,1658.8,3480.2,2086900000.0
0.5943,10.67,1661.9,3483.0,2084400000.0
0.60059,10.858,1665.0,3485.9,2081800000.0
0.60691,11.048,1667.9,3488.6,2079300000.0
0.61326,11.241,1670.9,3491.4,2076800000.0
0.61963,11.435,1673.8,3494.1,2074200000.0
0.62603,11.633000000000001,1676.7,3496.8,2071700000.0
0.63246,11.832,1679.5,3499.4,2069100000.0
0.63892,12.034,1682.3,3502.0,2066600000.0
0.6454,12.238000000000001,1685.1,3504.6,2064100000.0
0.65191,12.444,1687.8,3507.2,2061500000.0
0.65845,12.653,1690.5,3509.7,2059000000.0
0.66501,12.864,1693.1,3512.2,2056400000.0
0.6716,13.078000000000001,1695.7,3514.6,2053900000.0
0.67821,13.294,1698.3,3517.1,2051400000.0
0.68485,13.512,1700.9,3519.5,2048800000.0
0.69152,13.733,1703.4,3521.9,2046300000.0
0.69821,13.957,1705.9,3524.2,2043800000.0
0.70493,14.182,1708.3,3526.5,2041200000.0
0.71167,14.411000000000001,1710.7,3528.8,2038700000.0
0.71844,14.641,1713.1,3531.1,2036100000.0
0.72523,14.874,1715.5,3533.3,2033600000.0
0.73205,15.110000000000001,1717.8,3535.6,2031100000.0
0.73889,15.348,1720.1,3537.8,2028500000.0
0.74576,15.589,1722.4,3539.9,2026000000.0
0.75265,15.833,1724.6,3542.1,2023400000.0
0.75957,16.078,1726.9,3544.2,2020900000.0
0.76651,16.327,1729.1,3546.3,2018400000.0
0.77347,16.578,1731.2,3548.4,2015800000.0
0.78046,16.832,1733.4,3550.4,2013300000.0
0.78747,17.088,1735.5,3552.5,2010700000.0
0.79451,17.347,1737.6,3554.5,2008200000.0
0.80157,17.608,1739.6,3556.5,2005700000.0
0.80865,17.872,1741.6,3558.4,2003100000.0
0.81576,18.139,1743.7,3560.4,2000600000.0
0.82289,18.409,1745.6,3562.3,1998100000.0
0.83004,18.681,1747.6,3564.2,1995500000.0
0.83721,18.956,1749.6,3566.1,1993000000.0
0.84441,19.233,1751.5,3567.9,1990400000.0
