logT	 logRho		logP		u	s
 -6.00    -6.60    -2.084816903653015E+01     3.763071487162578E-05     1.361684150872121E-05
 -6.00    -6.50    -2.084816903653015E+01     3.763071418504142E-05     1.358092286127706E-05
 -6.00    -6.40    -2.084816903653015E+01     3.763071363966808E-05     1.355239166545907E-05
 -6.00    -6.30    -2.084816903653015E+01     3.763071320646264E-05     1.352972853105039E-05
 -6.00    -6.20    -2.084816903653015E+01     3.763071286235532E-05     1.351172656350223E-05
 -6.00    -6.10    -2.084816903653015E+01     3.763071258902117E-05     1.349742709239813E-05
 -6.00    -6.00    -2.084816903653015E+01     3.763071237190413E-05     1.348606861875852E-05
 -6.00    -5.90    -2.084816903653015E+01     3.763071219944194E-05     1.347704626244321E-05
 -6.00    -5.80    -2.084816903653015E+01     3.763071206245034E-05     1.346987955007822E-05
 -6.00    -5.70    -2.084816903653015E+01     3.763071195363406E-05     1.346418682809655E-05
 -6.00    -5.60    -2.084816903653015E+01     3.763071186719821E-05     1.345966493829408E-05
 -6.00    -5.50    -2.084816903653015E+01     3.763071179853977E-05     1.345607307354967E-05
 -6.00    -5.40    -2.084816903653015E+01     3.763071174400244E-05     1.345321995396787E-05
 -6.00    -5.30    -2.084816903653015E+01     3.763071170068189E-05     1.345095364052700E-05
 -6.00    -5.20    -2.084816903653015E+01     3.763071166627116E-05     1.344915344377218E-05
 -6.00    -5.10    -2.084816903653015E+01     3.763071163893774E-05     1.344772349666177E-05
 -6.00    -5.00    -2.084816903653015E+01     3.763071161722604E-05     1.344658764929781E-05
 -6.00    -4.90    -2.084816903653015E+01     3.763071159997983E-05     1.344568541366628E-05
 -6.00    -4.80    -2.084816903653015E+01     3.763071158628067E-05     1.344496874242978E-05
 -6.00    -4.70    -2.084816903653015E+01     3.763071157539904E-05     1.344439947023162E-05
 -6.00    -4.60    -2.084816903653015E+01     3.763071156675545E-05     1.344394728125137E-05
 -6.00    -4.50    -2.084816903653015E+01     3.763071155988961E-05     1.344358809477693E-05
 -6.00    -4.40    -2.084816903653015E+01     3.763071155443587E-05     1.344330278281875E-05
 -6.00    -4.30    -2.084816903653015E+01     3.763071155010382E-05     1.344307615147466E-05
 -6.00    -4.20    -2.084816903653015E+01     3.763071154666275E-05     1.344289613179918E-05
 -6.00    -4.10    -2.084816903653015E+01     3.763071154392941E-05     1.344275313708814E-05
 -6.00    -4.00    -2.084816903653015E+01     3.763071154175824E-05     1.344263955235174E-05
 -6.00    -3.90    -2.084816903653015E+01     3.763071154003361E-05     1.344254932878859E-05
 -6.00    -3.80    -2.084816903653015E+01     3.763071153866369E-05     1.344247766166494E-05
 -6.00    -3.70    -2.084816903653015E+01     3.763071153757553E-05     1.344242073444512E-05
 -6.00    -3.60    -2.084816903653015E+01     3.763071153671117E-05     1.344237551554710E-05
 -6.00    -3.50    -2.084816903653015E+01     3.763071153602459E-05     1.344233959689965E-05
 -6.00    -3.40    -2.084816903653015E+01     3.763071153547922E-05     1.344231106570384E-05
 -6.00    -3.30    -2.084816903653015E+01     3.763071153504601E-05     1.344228840256943E-05
 -6.00    -3.20    -2.084816903653015E+01     3.763071153470190E-05     1.344227040060188E-05
 -6.00    -3.10    -2.084816903653015E+01     3.763071153442857E-05     1.344225610113078E-05
 -6.00    -3.00    -2.084816903653015E+01     3.763071153421145E-05     1.344224474265713E-05
 -6.00    -2.90    -2.084816903653015E+01     3.763071153403899E-05     1.344223572030082E-05
 -6.00    -2.80    -2.084816903653015E+01     3.763071153390200E-05     1.344222855358845E-05
 -6.00    -2.70    -2.084816903653015E+01     3.763071153379318E-05     1.344222286086647E-05
 -6.00    -2.60    -2.084816903653015E+01     3.763071153370675E-05     1.344221833897667E-05
 -6.00    -2.50    -2.084816903653015E+01     3.763071153363809E-05     1.344221474711193E-05
 -6.00    -2.40    -2.084816903653015E+01     3.763071153358355E-05     1.344221189399234E-05
 -6.00    -2.30    -2.084816903653015E+01     3.763071153354023E-05     1.344220962767890E-05
 -6.00    -2.20    -2.084816903653015E+01     3.763071153350582E-05     1.344220782748215E-05
 -6.00    -2.10    -2.084816903653015E+01     3.763071153347848E-05     1.344220639753504E-05
 -6.00    -2.00    -2.084816903653015E+01     3.763071153345677E-05     1.344220526168767E-05
 -6.00    -1.90    -2.084816903653015E+01     3.763071153343953E-05     1.344220435945204E-05
 -6.00    -1.80    -2.084816903653015E+01     3.763071153342583E-05     1.344220364278081E-05
 -6.00    -1.70    -2.084816903653015E+01     3.763071153341495E-05     1.344220307350861E-05
 -6.00    -1.60    -2.084816903653015E+01     3.763071153340630E-05     1.344220262131963E-05
 -6.00    -1.50    -2.084816903653015E+01     3.763071153339944E-05     1.344220226213315E-05
 -6.00    -1.40    -2.084816903653015E+01     3.763071153339398E-05     1.344220197682119E-05
 -6.00    -1.30    -2.084816903653015E+01     3.763071153338965E-05     1.344220175018985E-05
 -6.00    -1.20    -2.084816903653015E+01     3.763071153338621E-05     1.344220157017018E-05
 -6.00    -1.10    -2.084816903653015E+01     3.763071153338348E-05     1.344220142717546E-05
 -6.00    -1.00    -2.084816903653015E+01     3.763071153338130E-05     1.344220131359073E-05
 -6.00    -0.90    -2.084816903653015E+01     3.763071153337958E-05     1.344220122336716E-05
 -6.00    -0.80    -2.084816903653015E+01     3.763071153337821E-05     1.344220115170004E-05
 -6.00    -0.70    -2.084816903653015E+01     3.763071153337712E-05     1.344220109477282E-05
 -6.00    -0.60    -2.084816903653015E+01     3.763071153337626E-05     1.344220104955392E-05
 -6.00    -0.50    -2.084816903653015E+01     3.763071153337557E-05     1.344220101363528E-05
 -6.00    -0.40    -2.084816903653015E+01     3.763071153337503E-05     1.344220098510408E-05
 -6.00    -0.30    -2.084816903653015E+01     3.763071153337460E-05     1.344220096244095E-05
 -6.00    -0.20    -2.084816903653015E+01     3.763071153337425E-05     1.344220094443898E-05
 -6.00    -0.10    -2.084816903653015E+01     3.763071153337398E-05     1.344220093013951E-05
 -6.00     0.00    -2.084816903653015E+01     3.763071153337376E-05     1.344220091878103E-05
 -6.00     0.10    -5.414923120394247E+00     3.773259631681243E-05     1.174595915703217E-05
 -6.00     0.20    -4.751882958543775E+00     3.928790631258788E-05     9.709044240095428E-06
 -6.00     0.30    -4.318133932204931E+00     4.323357167024875E-05     8.232051308113364E-06
 -6.00     0.40    -3.962599788830233E+00     5.085025332439774E-05     7.062084079660550E-06
 -6.00     0.50    -3.649022853133044E+00     6.382115452980292E-05     6.091085047260591E-06
 -6.00     0.60    -3.362506648628586E+00     8.430080659923412E-05     5.266038837751097E-06
 -6.00     0.70    -3.095281120430725E+00     1.150033257311466E-04     4.557000928555147E-06
 -6.00     0.80    -2.842677176043636E+00     1.593041768531658E-04     3.944300762118336E-06
 -6.00     0.90    -2.601613406867054E+00     2.213573035212030E-04     3.413373314339555E-06
 -6.00     1.00    -2.369916952410345E+00     3.062325394034843E-04     2.952889168934275E-06
 -6.00     1.10    -2.145979013807269E+00     4.200786254789892E-04     2.553236553822653E-06
 -6.00     1.20    -1.928566481756058E+00     5.703098919479557E-04     2.206792442240361E-06
 -6.00     1.30    -1.716707383068722E+00     7.658214874478146E-04     1.906316690863736E-06
 -6.00     1.40    -1.509620079691502E+00     1.017285898842663E-03     1.645911217877132E-06
 -6.00     1.50    -1.306664948429182E+00     1.337450767662422E-03     1.420288189499238E-06
 -6.00     1.60    -1.107312573261824E+00     1.741488022415299E-03     1.224984975603606E-06
 -6.00     1.70    -9.111199296546997E-01     2.247431806718722E-03     1.056122381712113E-06
 -6.00     1.80    -7.177129179625374E-01     2.876680366576468E-03     9.100787769650322E-07
 -6.00     1.90    -5.267737559093606E-01     3.654582101830620E-03     7.839281820721334E-07
 -6.00     2.00    -3.380305905445128E-01     4.611122044467744E-03     6.750123090883223E-07
 -5.90   -12.60    -2.074417305829272E+01     4.097249340423676E-05     1.777827779382342E-01
 -5.90   -12.50    -2.074417305829272E+01     4.028518476490012E-05     1.412216723962337E-01
 -5.90   -12.40    -2.074417305829272E+01     3.973923610670510E-05     1.121801539714883E-01
 -5.90   -12.30    -2.074417305829272E+01     3.930557367279097E-05     8.911165590744759E-02
 -5.90   -12.20    -2.074417305829272E+01     3.896110335719371E-05     7.078769656249730E-02
 -5.90   -12.10    -2.074417305829272E+01     3.868748085949043E-05     5.623245828286370E-02
 -5.90   -12.00    -2.074417305829272E+01     3.847013478390893E-05     4.467082155421107E-02
 -5.90   -11.90    -2.074417305829272E+01     3.829749065936803E-05     3.548708706101698E-02
 -5.90   -11.80    -2.074417305829272E+01     3.816035455668594E-05     2.819218745286162E-02
 -5.90   -11.70    -2.074417305829272E+01     3.805142347832550E-05     2.239764272462463E-02
 -5.90   -11.60    -2.074417305829272E+01     3.796489644714485E-05     1.779487223961333E-02
 -5.90   -11.50    -2.074417305829272E+01     3.789616558321118E-05     1.413876168541328E-02
 -5.90   -11.40    -2.074417305829272E+01     3.784157071739168E-05     1.123460984293874E-02
 -5.90   -11.30    -2.074417305829272E+01     3.779820447400027E-05     8.927760036534668E-03
 -5.90   -11.20    -2.074417305829272E+01     3.776375744244054E-05     7.095364102039637E-03
 -5.90   -11.10    -2.074417305829272E+01     3.773639519267021E-05     5.639840274076278E-03
 -5.90   -11.00    -2.074417305829272E+01     3.771466058511206E-05     4.483676601211013E-03
 -5.90   -10.90    -2.074417305829272E+01     3.769739617265797E-05     3.565303151891605E-03
 -5.90   -10.80    -2.074417305829272E+01     3.768368256238977E-05     2.835813191076070E-03
 -5.90   -10.70    -2.074417305829272E+01     3.767278945455372E-05     2.256358718252370E-03
 -5.90   -10.60    -2.074417305829272E+01     3.766413675143565E-05     1.796081669751241E-03
 -5.90   -10.50    -2.074417305829272E+01     3.765726366504229E-05     1.430470614331235E-03
 -5.90   -10.40    -2.074417305829272E+01     3.765180417846034E-05     1.140055430083781E-03
 -5.90   -10.30    -2.074417305829272E+01     3.764746755412120E-05     9.093704494433739E-04
 -5.90   -10.20    -2.074417305829272E+01     3.764402285096522E-05     7.261308559938711E-04
 -5.90   -10.10    -2.074417305829272E+01     3.764128662598819E-05     5.805784731975351E-04
 -5.90   -10.00    -2.074417305829272E+01     3.763911316523238E-05     4.649621059110086E-04
 -5.90    -9.90    -2.074417305829272E+01     3.763738672398697E-05     3.731247609790678E-04
 -5.90    -9.80    -2.074417305829272E+01     3.763601536296015E-05     3.001757648975142E-04
 -5.90    -9.70    -2.074417305829272E+01     3.763492605217654E-05     2.422303176151443E-04
 -5.90    -9.60    -2.074417305829272E+01     3.763406078186474E-05     1.962026127650313E-04
 -5.90    -9.50    -2.074417305829272E+01     3.763337347322540E-05     1.596415072230308E-04
 -5.90    -9.40    -2.074417305829272E+01     3.763282752456720E-05     1.305999887982853E-04
 -5.90    -9.30    -2.074417305829272E+01     3.763239386213329E-05     1.075314907342446E-04
 -5.90    -9.20    -2.074417305829272E+01     3.763204939181769E-05     8.920753138929433E-05
 -5.90    -9.10    -2.074417305829272E+01     3.763177576931999E-05     7.465229310966073E-05
 -5.90    -9.00    -2.074417305829272E+01     3.763155842324441E-05     6.309065638100808E-05
 -5.90    -8.90    -2.074417305829272E+01     3.763138577911986E-05     5.390692188781401E-05
 -5.90    -8.80    -2.074417305829272E+01     3.763124864301719E-05     4.661202227965865E-05
 -5.90    -8.70    -2.074417305829272E+01     3.763113971193882E-05     4.081747755142166E-05
 -5.90    -8.60    -2.074417305829272E+01     3.763105318490764E-05     3.621470706641036E-05
 -5.90    -8.50    -2.074417305829272E+01     3.763098445404371E-05     3.255859651221031E-05
 -5.90    -8.40    -2.074417305829272E+01     3.763092985917789E-05     2.965444466973577E-05
 -5.90    -8.30    -2.074417305829272E+01     3.763088649293450E-05     2.734759486333170E-05
 -5.90    -8.20    -2.074417305829272E+01     3.763085204590294E-05     2.551519892883667E-05
 -5.90    -8.10    -2.074417305829272E+01     3.763082468365317E-05     2.405967510087331E-05
 -5.90    -8.00    -2.074417305829272E+01     3.763080294904561E-05     2.290351142800804E-05
 -5.90    -7.90    -2.074417305829272E+01     3.763078568463315E-05     2.198513797868864E-05
 -5.90    -7.80    -2.074417305829272E+01     3.763077197102289E-05     2.125564801787309E-05
 -5.90    -7.70    -2.074417305829272E+01     3.763076107791505E-05     2.067619354504941E-05
 -5.90    -7.60    -2.074417305829272E+01     3.763075242521194E-05     2.021591649654827E-05
 -5.90    -7.50    -2.074417305829272E+01     3.763074555212554E-05     1.985030544112827E-05
 -5.90    -7.40    -2.074417305829272E+01     3.763074009263896E-05     1.955989025688081E-05
 -5.90    -7.30    -2.074417305829272E+01     3.763073575601462E-05     1.932920527624040E-05
 -5.90    -7.20    -2.074417305829272E+01     3.763073231131146E-05     1.914596568279090E-05
 -5.90    -7.10    -2.074417305829272E+01     3.763072957508649E-05     1.900041329999456E-05
 -5.90    -7.00    -2.074417305829272E+01     3.763072740162573E-05     1.888479693270804E-05
 -5.90    -6.90    -2.074417305829272E+01     3.763072567518448E-05     1.879295958777610E-05
 -5.90    -6.80    -2.074417305829272E+01     3.763072430382346E-05     1.872001059169454E-05
 -5.90    -6.70    -2.074417305829272E+01     3.763072321451267E-05     1.866206514441217E-05
 -5.90    -6.60    -2.074417305829272E+01     3.763072234924236E-05     1.861603743956206E-05
 -5.90    -6.50    -2.074417305829272E+01     3.763072166193373E-05     1.857947633402006E-05
 -5.90    -6.40    -2.074417305829272E+01     3.763072111598506E-05     1.855043481559532E-05
 -5.90    -6.30    -2.074417305829272E+01     3.763072068232263E-05     1.852736631753127E-05
 -5.90    -6.20    -2.074417305829272E+01     3.763072033785232E-05     1.850904235818632E-05
 -5.90    -6.10    -2.074417305829272E+01     3.763072006422982E-05     1.849448711990669E-05
 -5.90    -6.00    -2.074417305829272E+01     3.763071984688374E-05     1.848292548317804E-05
 -5.90    -5.90    -2.074417305829272E+01     3.763071967423962E-05     1.847374174868484E-05
 -5.90    -5.80    -2.074417305829272E+01     3.763071953710351E-05     1.846644684907669E-05
 -5.90    -5.70    -2.074417305829272E+01     3.763071942817243E-05     1.846065230434845E-05
 -5.90    -5.60    -2.074417305829272E+01     3.763071934164540E-05     1.845604953386344E-05
 -5.90    -5.50    -2.074417305829272E+01     3.763071927291454E-05     1.845239342330924E-05
 -5.90    -5.40    -2.074417305829272E+01     3.763071921831968E-05     1.844948927146676E-05
 -5.90    -5.30    -2.074417305829272E+01     3.763071917495343E-05     1.844718242166036E-05
 -5.90    -5.20    -2.074417305829272E+01     3.763071914050640E-05     1.844535002572587E-05
 -5.90    -5.10    -2.074417305829272E+01     3.763071911314415E-05     1.844389450189790E-05
 -5.90    -5.00    -2.074417305829272E+01     3.763071909140954E-05     1.844273833822504E-05
 -5.90    -4.90    -2.074417305829272E+01     3.763071907414513E-05     1.844181996477572E-05
 -5.90    -4.80    -2.074417305829272E+01     3.763071906043152E-05     1.844109047481490E-05
 -5.90    -4.70    -2.074417305829272E+01     3.763071904953841E-05     1.844051102034208E-05
 -5.90    -4.60    -2.074417305829272E+01     3.763071904088571E-05     1.844005074329358E-05
 -5.90    -4.50    -2.074417305829272E+01     3.763071903401263E-05     1.843968513223816E-05
 -5.90    -4.40    -2.074417305829272E+01     3.763071902855314E-05     1.843939471705391E-05
 -5.90    -4.30    -2.074417305829272E+01     3.763071902421651E-05     1.843916403207327E-05
 -5.90    -4.20    -2.074417305829272E+01     3.763071902077181E-05     1.843898079247982E-05
 -5.90    -4.10    -2.074417305829272E+01     3.763071901803559E-05     1.843883524009702E-05
 -5.90    -4.00    -2.074417305829272E+01     3.763071901586213E-05     1.843871962372974E-05
 -5.90    -3.90    -2.074417305829272E+01     3.763071901413568E-05     1.843862778638481E-05
 -5.90    -3.80    -2.074417305829272E+01     3.763071901276432E-05     1.843855483738873E-05
 -5.90    -3.70    -2.074417305829272E+01     3.763071901167501E-05     1.843849689194144E-05
 -5.90    -3.60    -2.074417305829272E+01     3.763071901080974E-05     1.843845086423659E-05
 -5.90    -3.50    -2.074417305829272E+01     3.763071901012243E-05     1.843841430313105E-05
 -5.90    -3.40    -2.074417305829272E+01     3.763071900957648E-05     1.843838526161263E-05
 -5.90    -3.30    -2.074417305829272E+01     3.763071900914282E-05     1.843836219311456E-05
 -5.90    -3.20    -2.074417305829272E+01     3.763071900879835E-05     1.843834386915522E-05
 -5.90    -3.10    -2.074417305829272E+01     3.763071900852473E-05     1.843832931391694E-05
 -5.90    -3.00    -2.074417305829272E+01     3.763071900830738E-05     1.843831775228021E-05
 -5.90    -2.90    -2.074417305829272E+01     3.763071900813474E-05     1.843830856854571E-05
 -5.90    -2.80    -2.074417305829272E+01     3.763071900799760E-05     1.843830127364610E-05
