 Output of condall21.f + conduct21.f v.23.04.21; damping strength = 1
  -5.50   2.443  3.125  3.846  4.590  5.349  6.118  6.895  7.678  8.467  9.259 10.055 10.853 11.654 12.456 13.259 14.060 14.856 15.644 16.418
  -5.25   2.516  3.177  3.886  4.622  5.375  6.141  6.915  7.697  8.483  9.274 10.069 10.866 11.666 12.467 13.269 14.070 14.866 15.653 16.427
  -5.00   2.602  3.235  3.929  4.656  5.404  6.166  6.937  7.716  8.500  9.290 10.083 10.879 11.678 12.478 13.280 14.079 14.875 15.662 16.436
  -4.75   2.703  3.302  3.977  4.694  5.435  6.191  6.959  7.735  8.518  9.306 10.097 10.893 11.690 12.490 13.290 14.090 14.885 15.672 16.446
  -4.50   2.824  3.379  4.031  4.735  5.468  6.219  6.983  7.756  8.536  9.322 10.112 10.906 11.703 12.502 13.301 14.100 14.895 15.681 16.455
  -4.25   2.970  3.470  4.093  4.780  5.503  6.248  7.008  7.778  8.556  9.339 10.128 10.921 11.716 12.514 13.313 14.111 14.905 15.690 16.464
  -4.00   3.147  3.578  4.163  4.830  5.542  6.280  7.034  7.801  8.576  9.357 10.144 10.935 11.730 12.527 13.324 14.122 14.915 15.700 16.473
  -3.75   3.358  3.707  4.245  4.887  5.584  6.314  7.063  7.825  8.597  9.376 10.161 10.951 11.744 12.539 13.336 14.133 14.925 15.710 16.483
  -3.50   3.604  3.863  4.342  4.952  5.631  6.350  7.093  7.850  8.619  9.396 10.179 10.967 11.758 12.553 13.349 14.144 14.936 15.720 16.492
  -3.25   3.880  4.049  4.457  5.026  5.684  6.390  7.125  7.878  8.642  9.416 10.197 10.983 11.773 12.566 13.361 14.156 14.947 15.730 16.502
  -3.00   4.177  4.267  4.595  5.114  5.744  6.435  7.160  7.906  8.667  9.438 10.216 11.000 11.789 12.581 13.374 14.168 14.958 15.741 16.512
  -2.75   4.485  4.515  4.760  5.218  5.813  6.484  7.198  7.937  8.693  9.460 10.236 11.018 11.805 12.595 13.388 14.180 14.970 15.752 16.522
  -2.50   4.790  4.784  4.953  5.341  5.893  6.540  7.240  7.971  8.721  9.484 10.257 11.036 11.821 12.610 13.402 14.193 14.982 15.763 16.532
  -2.25   5.074  5.065  5.175  5.488  5.987  6.604  7.286  8.007  8.751  9.509 10.279 11.056 11.839 12.626 13.416 14.206 14.994 15.774 16.543
  -2.00   5.330  5.343  5.419  5.661  6.099  6.678  7.338  8.046  8.782  9.536 10.302 11.076 11.857 12.642 13.431 14.220 15.007 15.786 16.554
  -1.75   5.565  5.607  5.675  5.860  6.231  6.764  7.398  8.090  8.817  9.564 10.326 11.097 11.876 12.659 13.446 14.234 15.019 15.798 16.565
  -1.50   5.795  5.851  5.933  6.082  6.387  6.867  7.467  8.139  8.854  9.595 10.352 11.119 11.895 12.677 13.462 14.249 15.033 15.810 16.577
  -1.25   6.028  6.085  6.180  6.320  6.568  6.988  7.547  8.194  8.895  9.628 10.379 11.143 11.916 12.695 13.479 14.264 15.047 15.823 16.588
  -1.00   6.269  6.318  6.417  6.561  6.772  7.130  7.643  8.259  8.941  9.663 10.408 11.168 11.937 12.714 13.496 14.279 15.061 15.836 16.601
  -0.75   6.519  6.557  6.648  6.799  6.995  7.295  7.756  8.335  8.993  9.702 10.440 11.194 11.960 12.734 13.513 14.295 15.075 15.850 16.613
  -0.50   6.780  6.806  6.883  7.031  7.227  7.484  7.888  8.426  9.054  9.745 10.473 11.222 11.984 12.755 13.532 14.312 15.091 15.864 16.626
  -0.25   7.054  7.064  7.126  7.260  7.461  7.695  8.040  8.534  9.125  9.794 10.510 11.252 12.009 12.777 13.551 14.329 15.106 15.878 16.639
   0.00   7.341  7.332  7.379  7.495  7.692  7.922  8.217  8.660  9.213  9.850 10.551 11.284 12.036 12.800 13.572 14.347 15.123 15.893 16.653
   0.25   7.641  7.612  7.642  7.738  7.922  8.158  8.417  8.804  9.319  9.918 10.597 11.319 12.065 12.825 13.593 14.366 15.140 15.908 16.667
   0.50   7.953  7.904  7.916  7.991  8.155  8.393  8.640  8.969  9.444 10.002 10.649 11.358 12.096 12.851 13.616 14.386 15.157 15.924 16.681
   0.75   8.278  8.209  8.200  8.255  8.396  8.627  8.879  9.159  9.586 10.108 10.712 11.401 12.129 12.878 13.639 14.407 15.176 15.941 16.697
   1.00   8.618  8.527  8.495  8.530  8.646  8.861  9.122  9.376  9.744 10.236 10.792 11.450 12.166 12.908 13.664 14.428 15.195 15.958 16.712
   1.25   8.978  8.855  8.803  8.816  8.907  9.100  9.364  9.617  9.924 10.381 10.897 11.508 12.206 12.939 13.691 14.451 15.215 15.976 16.728
   1.50   9.360  9.196  9.122  9.112  9.179  9.347  9.604  9.869 10.131 10.540 11.029 11.582 12.252 12.974 13.719 14.475 15.236 15.995 16.745
   1.75   9.762  9.553  9.453  9.419  9.461  9.602  9.844 10.121 10.367 10.713 11.181 11.683 12.306 13.012 13.749 14.501 15.258 16.014 16.763
   2.00  10.180  9.930  9.795  9.738  9.754  9.866 10.088 10.369 10.624 10.908 11.344 11.816 12.373 13.055 13.782 14.528 15.282 16.035 16.781
